Id,TIÊU ĐỀ CỦA SÁCH?(Ví dụ: Nhà Giả Kim),TÊN TÁC GIẢ?(Ví dụ: Paulo Coelho),CHỦ ĐỀ?,NHÀ XUẤT BẢN?(Ví dụ: NXB văn học)
318,Mỗi ngày tiết kiệm một giờ,Michael Heppell,Tâm lý - Giáo dục,NXB Trẻ
319,Tuần Làm Việc 4 Giờ,Timothy Ferriss,Kỹ năng mềm,NXB Lao động - Xã hội
320,cuộc chiến vì sức khoẻ,biswaroop rot chowdhury,Y học - Sức khỏe - Thể thao,nxb thông tấn
321,Lời nói dối vĩ đại của não ,Kelly Mcgonigal ,Tâm lý - Giáo dục,NXB lao động
322,Hoàn thành mọi việc không hề khó,David Allen,Tâm lý - Giáo dục,NXB Lao Động
323,The promise ,R.L.Scott-Buccleuch,Văn học - Tiểu thuyết,NXB Đồng Nai
324,Khi hơi thở hóa thinh không ,Paul Kalanithi,Hồi ký - Tiểu sử - Tự truyện,NXB Lao động 
325,365 chuyện kể đi ngủ,ngọc linh,Other,nxb thế giới
326,Sức mạnh của thói quen ,Charles Duhigg,Tâm lý - Giáo dục,NXB lao động - xã hội 
327,Điệp viên của Chúa,Juan Gomez-Jurado,Văn học - Tiểu thuyết,NXB Văn hóa - Thông tin
328,Những bí quyết làm giàu nổi tiếng ,Auger. Mandeno,Kinh tế - Quản trị,NXB Lao Động
329,hỏi bác sĩ nhi đồng,trương hữu khanh,Y học - Sức khỏe - Thể thao,nxb thế giới
330,Nghệ thuật giao tiếp thông minh,Vietbook,Kỹ năng mềm,Nxb văn hoá thông tin
331,Social Behavioral Science,MDIS,Học liệu,MDIS
332,Nhật ký bí mật của Chúa,Raymond Khoury,Văn học - Tiểu thuyết,NXB Văn hóa Sài Gòn
333,cách nuôi dạy một đứa trẻ,nobuyoshi hirai,Tâm lý - Giáo dục,nxb lao động
334,Người thành công có 1% cách nghĩ khác bạn,Chu Châu Bân,Tâm lý - Giáo dục,NXB Văn hoá Thông tin
335,Phi lý một cách Hợp lý,Dan Ariely,Kỹ năng mềm,NXB Thế giới
336,NHÀ ĐÀO TẠO SÀNH SỎI,ĐỖ HUÂN,Kinh tế - Quản trị,NXB LAO ĐỘNG
337,Now Discover Your strengths,Marcus Buckingham,Tâm lý - Giáo dục,NXB The international Bestseller
338,Principles of business management I,MDIS,Học liệu,MDIS
339,NHÀ ĐÀO TẠO SÀNH SỎI,ĐỖ HUÂN,Kinh tế - Quản trị,NXB LAO ĐỘNG
340,101 điều sai lầm giữa cha mẹ và con,phan thanh anh,Kỹ năng mềm,nxb hà nội
341,HARVARD BỐN RƯỠI SÁNG,Xiu-Ying Wei,Kỹ năng mềm,NXB Thế giới
342,Can đảm Cãi sếp,Ira Chaleff,Kỹ năng mềm,NXB Lao Động
343,FSoft Chân Kinh,FSoft,Other,FSoft
344,Organisational Behavior,MDIS,Học liệu,MDIS
345,Chuyện phần mềm 2.0 tập 1,FPT Software,Other,FPT Software
346,Hoàng tử bé ,Antoine De Saint-Exupéry,Văn học - Tiểu thuyết,NXB Văn học 
347,Manager Nhất Dương Chỉ,FSoft,Other,FSoft
348,Bình Yên Đất Trời,Trương Quý Hải,Nghệ thuật - Giải trí,NXB Âm Nhạc
349,Chuyện phần mềm 2.0 tập 1,FPT Software,Other,FPT Software
350,Applied Marketing Psychology,MDIS,Học liệu,MDIS
351,Cáo Già Gái Già và Tiểu Thuyết Diễm Tình,Dương Thụy,Văn học - Tiểu thuyết,NXB Trẻ
352,Chuyện phần mềm 2.0 tập 1,FPT Software,Other,NXB Lao Động Xã Hội
353,Personality and Abnormal Psychology,MDIS,Học liệu,MDIS
354,Chuyện phần mềm 2.0 tập 1,FPT Software,Other,NXB Lao Động Xã Hội
355,Vượt ao tù ra biển lớn,Stuart Avery Gold ,Tâm lý - Giáo dục,NXB Tổng hợp TPHCM
356,"KHÔNG PHẢI THIẾU MAY MẮN, CHỈ LÀ CHƯA CỐ GẮNG",LAM NGUYỆT,Kỹ năng mềm,NXB THANH NIÊN
357,Người Tình Sài Gòn,Linh Lê,Văn học - Tiểu thuyết,NXB Hội Nhà Văn
358,Chuyện phần mềm 2.0 tập 1,FPT Software,Other,NXB Lao Động Xã Hội
359,FSoft Chân Kinh,FSoft,Other,FSoft
360,36 kế ứng dụng trong kinh doanh và cuộc sống ,Ngọc bích,Kinh tế - Quản trị,Nxb lao động
361,Principles of business management II,MDIS,Học liệu,MDIS
362,Cà phê cùng Tony,Tony Buổi Sáng,Tâm lý - Giáo dục,NXB Trẻ
363,Chuyện phần mềm 2.0 tập 2,FPT Software,Other,NXB Lao Động Xã Hội
364,Hoàng tử bé ,Antoine De Saint-Exupéry,Văn học - Tiểu thuyết,NXB nhã nam 
365,Moon Palace,Paul Auster,Văn học - Tiểu thuyết,NXB A Penguin Book
366,giàu có hạnh phúc kh chỉ qua trường học,roberrt t.kiyosaki,Tâm lý - Giáo dục,nxb trẻ
367,Applied business psychology ,MDIS,Học liệu,MDIS
368,Cuộc Đời Yêu Dấu,Alice Munro,Văn học - Tiểu thuyết,NXB Trẻ
369,Hoàng tử bé ,Antoine De Saint-Exupéry,Văn học - Tiểu thuyết,NXB nhã nam
370,Tự Yêu,Du Phong,Văn học - Tiểu thuyết,NXB Văn Học
371,Organisational Psychology and Group Dynamics,MDIS,Học liệu,MDIS
372,Từ tơ lụa đến Silicon,Jeffrey E. Garten,Kinh tế - Quản trị,NBX Trẻ
373,Psychology of the individual,MDIS,Học liệu,MDIS
374,Từ điển tiếng Em,Khotudien,Other,NXB Phụ nữ VN
375,10 vạn câu hỏi vì sao,tôn nguyên vĩ,Other,nxb thời đại
376,Nhà Giả Kim ,Paulo Coelho,Văn học - Tiểu thuyết,NXB văn học 
377,Vượt Qua Tất Cả - Nghệ thuật sống của người Phần Lan,Joanna Nylund,Tâm lý - Giáo dục,NXB Tổng hợp TPHCM
378,Organisational behavior,MDIS,Học liệu,MDIS
379,Niên giám công nghệ thông tin Việt Nam 2003,Hội tin học TPHCM. Tạp chí thế giới vi tính,Khoa học tự nhiên - Kỹ thuật,NXP Tổng Hợp Thành Phố Hồ Chí Minh
380,Phản hồi hiệu quả trong 20p,Harvard bussiness review press,Kinh tế - Quản trị,Nxb thế giới
381,Luật bất thành văn trong kinh doanh,W.J.King,Kinh tế - Quản trị,NXB Tri Thức
382,Vui học tiếng anh,thanh châu,Ngoại ngữ,nxb thanh niên
383,LES ILES GRECQUES,E. Karpodini-Dimitriadi,Lịch sử - Địa lý,EKDOTIKE ATHENON S.A.
384,Đánh thức con người phi thường trong bạn,Anthony Robbins,Tâm lý - Giáo dục,NXB Tổng hợp TPHCM
385,Think and Grow (13 nguyên tắc nghĩ giàu làm giàu),Napoleon Hill,Kinh tế - Quản trị,NXB lao động
386,người quảng đi ăn mì quảng,nguyễn nhật ánh,Văn học - Tiểu thuyết,nxb trẻ
387,Tinh thần doanh nghiệp của nước nhật hiện đại,Tukichi fukuzawa,Kinh tế - Quản trị,Nxb trẻ
388,Nghệ Thuật lãnh Đạo doanh nghiệp,Ram Charan,Kinh tế - Quản trị,NXB Tổng hợp Thành phố Hồ ChíMinh
389,Đọc vị bất kỳ ai,David J.Lieberman,Tâm lý - Giáo dục,NXB lao động - xã hội 
390,Cái cười của thánh nhân,Nguyễn Duy Cần,Triết học - Tôn giáo - Tâm linh,NXB Trẻ
391,Robocon Ươm mầm những ước mơ,Đoàn Minh Hằng,Other,NXB Văn Học
392,Trí thông minh cảm xúc for dummies ,Steven J. Stein,Tâm lý - Giáo dục,NXB Lao Động
393,dạy con làm giàu tập 13,robert T.Kiyosaki,Tâm lý - Giáo dục,nxb trẻ
394,Cái cười của thánh nhân,Nguyễn Duy Cần,Triết học - Tôn giáo - Tâm linh,NXB Trẻ
395,Người Bán Hàng Vĩ Đại Nhất Thế Giới,OG MADINO,Văn học - Tiểu thuyết,NXB Tổng hợp Thành phố Hồ Chí Minh
396,Vị giám đốc 1 phút,"Ken Blanchard, Ph.D",Kinh tế - Quản trị,NXB Tổng hợp TP. Hồ Chí Minh
397,dạy con làm giàu,robert kiyosaki,Tâm lý - Giáo dục,nxb trẻ
398,Niêm yết sàn mỹ ," Alan v.Phan, ph.D , DBA",Kinh tế - Quản trị,Nxb lao động - xã hội
399,Tự học Ngôn ngữ lập trình Visual Basic 2005,Nguyễn Nam Thuận,Khoa học tự nhiên - Kỹ thuật,NXB Giao thông vận tải
400,"Sẽ có cách, đừng lo",Tuệ Nghi ,Kỹ năng mềm,NXB văn học 
401,Cánh đồng bất tận,Nguyễn Ngọc Tư,Văn học - Tiểu thuyết,NXB Trẻ
402,Điểm bùng phát,Malcolm Gladwell,Tâm lý - Giáo dục,NXB lao động - xã hội
403,21 Nguyên tắc vàng của Nghệ Thuật Lãnh Đạo,Jonh C. MAXWELL,Kinh tế - Quản trị,NXB Lao Động
404,Giáo trình SQL Server 2000,"Nguyễn Thiện Bằng, Phương Lan",Khoa học tự nhiên - Kỹ thuật,NXB Lao Động Xã Hội
405,Nhấn nút tái tạo,Satya Nadella,Kinh tế - Quản trị,NXB trẻ
406,Sức mạnh của thói quen ,Charles Duhigg,Tâm lý - Giáo dục,NXB Lao động- xã hội
407,Balanced,Scorecard,Kinh tế - Quản trị,Nxb tổng hợp thành phố hcm
408,Ngày trôi về phía cũ,Anh Khang,Văn học - Tiểu thuyết,NXB Hội Nhà Văn
409,Flat Eye - The Flat World Fsofters Eye,FSoft,Other,NXB Đồng Nai
410,Từ tốt đến Vĩ Đại,JIM COLLINS,Kinh tế - Quản trị,NXB Trẻ
411,"Think and Grow (13 nguyên tắc nghĩ giàu, làm giàu)",Napoleon Hill,Kinh tế - Quản trị,NXB Lao động
412,Lập trình ứng dụng chuyên nghiệp SQL Server 2000 tập 1,Phạm Hữu Khang,Khoa học tự nhiên - Kỹ thuật,NXB Giáo dục
413,Đánh thức con người phi thường trong bạn,anthony robbins,Kỹ năng mềm,nxn tổng hợp tphcm
414,Người đua Diều,Khaled Hosseini,Văn học - Tiểu thuyết,NXB Hội Nhà Văn
415,Nghệ thuật ăn trưa bàn công việc,Robin jay,Kinh tế - Quản trị,Nxb trẻ
