code,title,author,category,publisher,quantity, coverImage
wuolsa4d,FT1 - Sherlock Holmes 1: Chiếc nhẫn tình cờ,Conan Doyle,Văn học - Tiểu thuyết,NXB Công An Nhân Dân,1
wuolsa4y,FT1 - Buổi sáng diệu kỳ,Hal Elrod Pat Petrini,Kỹ năng mềm,NXB Lao động,1
o6okajeb,FT1 - Bí quyết gây dựng cơ nghiệp bạc tỷ,Adam Khoo,Kỹ năng mềm,NXB phụ nữ,1
u2y28zy1,FT1 - Sherlock Holmes 2: Truy tìm dấu bộ tứ,Conan Doyle,Văn học - Tiểu thuyết,NXB Công An Nhân Dân,1
p9o34cb2,FT1 - Hoàng cục kinh thế,triệu khang tiết,Triết học - Tôn giáo - Tâm linh,nxb hông đức,1
u7jobtho,FT1 - một đời quản trị,phan văn trường,Kinh tế - Quản trị,nhà xuất bản trẻ,2
u7jobthn,FT1 - CHICKEN SOUP FOR THE TRAVELER'S SOUL: TRẢI NGHIỆM TỪ NHỮNG CHUYẾN ĐI,JACK CANFIELD MARK VICTOR HANSEN STEVE ZIKMAN,Kỹ năng mềm,NXB TRẺ,1
eyxm8z94,FT1 - Sherlock Holmes 3: Hồi ức về Sherlock Holmes,Conan Doyle,Văn học - Tiểu thuyết,NXB Công An Nhân Dân,1
txiwairr,FT1 - Lấy tình thâm mà đổi đầu bạc,Vãn Tình,Văn học - Tiểu thuyết,NXB Thế Giới,1
wnvv4f61,FT1 - từ tốt đến vĩ đại,jim collins,Kinh tế - Quản trị,nxb trẻ,3
vfisqkk9,FT1 - Sống theo phương thức 80/20,Richard Koch,Kinh tế - Quản trị,NXB trẻ,1
9kn8y0vl,FT1 - Nghĩ Như Một Tỷ Phú,Donald J.TrumP and Meredith Mc IVER,Kinh tế - Quản trị,NXB Trẻ,1
fz0pjcnl,FT1 - Du hành cùng Herodotus,Ryszard Kapuscinski,Hồi ký - Tiểu sử - Tự truyện,NXB Văn hóa Sài Gòn,1
9qhia59m,FT1 - 10 Câu nói Vạn năng,Rich Devos,Kỹ năng mềm,NXB Tổng hợp TP. Hồ Chí Minh,1
rfo8anwr,FT1 - tứ thứ,diêm liên khoa,Văn học - Tiểu thuyết,nxb hội nhà văn,1
bp1fru31,FT1 - Sherlock Holmes 3B: Những cuộc phiêu lưu của Sherlock Holmes,Conan Doyle,Văn học - Tiểu thuyết,NXB Công An Nhân Dân,1
qzd7fg48,FT1 - Thấu hiểu tiếp thị từ A-Z,Philip Kotler,Kinh tế - Quản trị,NXB Trẻ,1
ea3fl9hx,FT1 - Content Marketing trong kỷ nguyên 4.0,Alexander Jutkowitz,Kinh tế - Quản trị,NXB lao động,1
om6w8gk6,FT1 - Trà Hoa Nữ,Alexandre Dumas con,Văn học - Tiểu thuyết,NXB Văn Học,1
