Title,Group,Author,NXB,Quantity
"Không phải thiếu may mắn, chỉ là chưa cố gắng",Quản trị - Lãnh đạo,2 1/2 Bạn Tốt (Lam Nguyệt dịch),Minh Long Book,1
Tái sáng tạo về nhân sự,Quản trị - Lãnh đạo,Harvard Business Review,NXB Đại học Kinh tế Quốc Dân,1
Quản lý rủi ro,Quản trị - Lãnh đạo,Harvard Business Review,NXB Đại học Kinh tế Quốc Dân,2
Chiến lược,Quản trị - Lãnh đạo,Harvard Business Review,NXB Đại học Kinh tế Quốc Dân,1
"Cá nhân hiệu suất, tổ chức hiệu quả",Quản trị - Lãnh đạo,Harvard Business Review,NXB Đại học Kinh tế Quốc Dân,1
Biến nhân sự tiềm năng thành tài năng,Quản trị - Lãnh đạo,Harvard Business Review,NXB Đại học Kinh tế Quốc Dân,1
Đưa dự án đến thành công,Quản trị - Lãnh đạo,Harvard Business Review,NXB Công Thương,1
7 thói quen hiệu quả,Quản trị - Lãnh đạo,Stephen R.Covey,NXB Tổng hợp TPHCM,1
Cái cười cười của thánh nhân,Quản trị - Lãnh đạo,Thu Giang Nguyễn Duy Cần,NXB Trẻ,1
Bắt đầu với câu hỏi tại sao,Quản trị - Lãnh đạo,Simon Sinek,NXB Công Thương,1
Quyền lực đích thực,Quản trị - Lãnh đạo,Thích Nhất Hạnh,NXB Phương Đông,1
"7 câu hỏi ""Thần kỳ"" của mọi sếp giỏi",Quản trị - Lãnh đạo,Michael Bungay Stanier,NXB Thế Giới,1
Nghệ thuật làm việc tuyệt vời cuả Toyota,Quản trị - Lãnh đạo,Yoshihito Wakamatsu,NXB Phụ nữ Việt Nam,1
Nghệ thuật làm việc cho ra kết quả của Toyota,Quản trị - Lãnh đạo,Yoshihito Wakamatsu,NXB Phụ nữ Việt Nam,1
Văn hóa doanh nghiệp và sự lãnh đạo,Quản trị - Lãnh đạo,Edgar H.Schein,NXB Thời đại,1
Học từ Hành động,Quản trị - Lãnh đạo,"Choon Seng Ng, Michael Marquardt, Peter Cauwelier, Shannon Banks",NXB Dân Trí,1
7 Thói Quen Hiệu Quả - The 7 Habits Of Highly Effective People,Quản trị - Lãnh đạo,Stephen R Covey,NXB Tổng Hợp TPHCM,1
The Speed Of Trust - Sức Mạnh Của Niềm Tin,Quản trị - Lãnh đạo,"Stephen M. R. Covey, Rebecca R. Merrill",NXB Tổng Hợp TPHCM,1
Vượt Ngục Tư Duy - Getting out of the box,Kỹ năng sống,The Arbinger Institute,NXB Tổng Hợp TPHCM,1
Chính Bắc - Lãnh Đạo Đích Thực - Discover Your True North,Quản trị - Lãnh đạo,Bill George,NXB Tổng Hợp TPHCM,1
Quản Trị Bằng Văn Hóa - Pace Books,Quản trị - Lãnh đạo,Giản Tư Trung,NXB Tri Thức,1
Khởi nghiệp lãng mạn và thực tế,,Đỗ Cao Bảo,NXB Công Thương,1
